name,date,degree,OVERALL UNIVERSITY RATING,Job Prospects,Course and Lecturers,Uni Facilities,Student Support,Do you think your time at university this year has been value for money?,Students' Union,Accommodation,Local life,Societies and Sports
Pranav,26 May 21,Law BA (Hons),"{'Tell us about your overall university experience so far.': 'I felt that the law faculty could have done a bit more to make students feel like their interests are important. Many students expected the faculty to try and arrange for online social events, but no such efforts were taken. \nOnline classes came no where close to how amazing in-person classes are for learning. It would have been appreciated if the University did not try to exaggerate in their advertisements about their efforts in trying to ensure a quality of education through the online mode.'}",,{'How many contact hours per week do you have?': '200'},,,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,
Peter,26 May 21,French and German BA (Hons),{'Tell us about your overall university experience so far.': 'My overall experience at Oxford has been overwhelmingly positive - having the opportunity to benefit from world-class facilities and high-quality academics at my fingertips is something for which I will be forever grateful. I am excited to pursue a enriching linguistic career upon graduation!'},,{'How many contact hours per week do you have?': '12'},,,{'Do you think your time at university this year has been value for money?': 'No'},,,,
Jena,24 May 21,German and Czech (with Slovak) BA (Hons),"{'Tell us about your overall university experience so far.': ""This year has been really nice in terms of getting used to the Oxford workload. While covid has limited the social side of things it has given me the time to adjust to work. This term the social side has come back and I feel well equipped to balance everything. My tutors have been really good at supporting me and my tute group through this tricky year. They've all been very understanding and accomodating to my mental health needs. Although my tutors have clearly done their best, online learning hasn't been as good as in-person. I feel that there are still significant insecurities in my knowledge due to the open-book nature of our exams and teaching.""}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Constant emails and resources.'}",{'How many contact hours per week do you have?': '13'},,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Could do with longer-term counselling provisions'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Samuel,13 Apr 21,Music DPhil,"{'Tell us about your overall university experience so far.': 'Considering the significant barriers to socialising and general life at University, I think the experience I have had this academic year has been really quite good. The university has, on the whole, managed the situation quite well - but my college (Queen’s) has adopted a particularly good stance which has enabled adherence to the government guidelines, whilst allowing the junior members to enjoy the experience as much as possible.'}",,"{'What do you like most and least about the way your course(s) are taught?': 'The contact I have with my supervisor is very good, and other members of academic staff are usually very receptive and responsive to emails'}","{""How good are your university's facilities?"": 'The facilities, both in terms of outfitting and breadth of choice, are second to none.'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Support is good, but the waiting lists/bureaucracy is often quite long, so it can be difficult to get immediate support'}",{'Do you think your time at university this year has been value for money?': 'Yes'},,,,
Eugene,12 Apr 21,Applied Theology MTh,"{'Tell us about your overall university experience so far.': ""The college and university have tried their best to make sure that the quality of education wasn't diminished this year because of COVID-19. This year being my dissertation year, with more emphasis on self-study and research instead of lots of contact hours with tutors, made it so that I didn't feel the impact as much as I might have in a different course. My supervisors this year have been excellent, so even though I didn't have a lot of contact hours, each tutorial session I had with them allowed me to hone my research further and further.""}",,"{'What do you like most and least about the way your course(s) are taught?': ""If you know what you want out of the course and what area you want to go into going forward, this is a really great course. The freedom in the range of topics you can pick for your papers really allows you to tailor the course to your specific needs. That being said, if you don't know, it might be better to choose a course with a more specific scope. I knew what I wanted to study and my future goals going into the course, and so I got a lot out of exploring theology from the lens of that area, but for someone with a less clear vision it may be harder to do that. Lectures can be hit or miss depending on if they are relevant to what you are studying, but it's worth it to listen to see if there are any interesting ideas you can write about in your paper. The most important people are the supervisors for your papers. If you get really good supervisors, you'll be challenged and stretched to go beyond your own assumptions and views about theology in order to craft a really good paper.""}",,,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,
Student Reviewer,21 Mar 21,Integrated Immunology MSc,"{'Tell us about your overall university experience so far.': 'Although COVID made things inconvenient for everyone, my course was still really enjoyable with great support from the coordinators ensuring that all our needs are met. Challenging but fruitful year!'}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Career portals with useful information is easily available.'}","{'What do you like most and least about the way your course(s) are taught?': 'We have face to face teachings at the beginning, but COVID lockdown and restrictions resulted the course to be conducted online.'}","{""How good are your university's facilities?"": 'Friendly and helpful team, college has great facilities'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Emails are sent almost weekly to provide support for mental health and other related services.'}",{'Do you think your time at university this year has been value for money?': 'Yes'},,,,
Issy,19 Mar 21,Japanese BA (Hons),"{'Tell us about your overall university experience so far.': 'Obviously not being on campus last term was not ideal, and online learning has had its challenges, but overall I’ve really enjoyed my course so far and felt supported by the university.'}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'There are a number of schemes in place to help with finding internships and jobs, as well as regular guest speakers and career support.'}",{'How many contact hours per week do you have?': '10'},"{""How good are your university's facilities?"": 'Vary between accommodation blocks but overall not bad. Have access to a kitchenette, shared bathrooms, etc.'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'The support is definitely there if you need it and the welfare team is great.'}",{'Do you think your time at university this year has been value for money?': 'Yes'},,,,
Gabriel,24 Jan 20,Mathematics MMath,"{'Tell us about your overall university experience so far.': 'Accommodation, location, teaching, facilities all of a very high standard. Life can be quite intense and sometimes overwhelmingly busy at points though.'}",,{'How many contact hours per week do you have?': '15'},,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Most tutors excellent academically; personal support a bit lacking.'}",,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'SU largely irrelevant to student life'}","{'What do you think about the safety, condition, location and cost of your accommodation?': 'Very good, very attractive buildings and fairly well maintained a bit expensive though'}",,"{'How would you rate the variety of societies/sports?': 'Huge range, not necessarily time to commit to more than a couple though.'}"
Rhys,24 Jan 20,Mathematics MMath,"{'Tell us about your overall university experience so far.': 'Overall very happy, just things here and there to be improved.'}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Decent amount of career events available to attend'}",{'How many contact hours per week do you have?': '10'},"{""How good are your university's facilities?"": 'Very good all round'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Mental health help can be lacking.'}",,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Generally good, but don't hear much about them""}","{'What do you think about the safety, condition, location and cost of your accommodation?': 'Accommodation can need a cost of maintenance but issues are quickly fixed'}",{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Extremely central location'},"{'How would you rate the variety of societies/sports?': 'Pretty much any sport, society is available'}"
Jenny,24 Jan 20,Mathematics MMath,{'Tell us about your overall university experience so far.': None},,{'How many contact hours per week do you have?': '10'},"{""How good are your university's facilities?"": 'Mostly really great and lots of renovations always improve things'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Lots of personal support offered, and college academic support is great, but university/department tutors are less so.'}",,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Colleges pay way too much to the SU for not much return. Personally, have never attended any SU events and don't know what it does. Don't know anyone involved or who has been to anything they've run. Good LGBTQ+ support though.""}","{'What do you think about the safety, condition, location and cost of your accommodation?': 'Very central and good accommodation convenient to have college provided rooms for the whole degree length'}",,{'How would you rate the variety of societies/sports?': 'Heaps of different options + always able to star something new both in college and in the uni.'}
