name,date,degree,OVERALL UNIVERSITY RATING,Job Prospects,Course and Lecturers,Uni Facilities,Student Support,Do you think your time at university this year has been value for money?,Students' Union,Accommodation,Local life,Societies and Sports
Paulomi,26 May 21,Civil Engineering MEng (Hons),{'Tell us about your overall university experience so far.': 'This year I gave a very low rating because of coronavirus. I felt the level of teaching was nowhere near what it needed to be especially in a practical subject such as engineering. I felt unprepared especially after an online term 3 last year and my mental health definitely suffered at various points throughout the year. I felt that the overall experience was not indicative of the £9250 spent towards it not even including living costs.'},"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'School of engineering specific is very good with a placement officer. Not sure about rest of the university'}",{'How many contact hours per week do you have?': '20'},,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'They are available but many feel they are more for university quotas than helping students.'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Lucy,26 May 21,Hispanic Studies and French BA (Hons),"{'Tell us about your overall university experience so far.': 'Having been online, the university experience was very isolating. However, my department offered lots of support and events which I found really beneficial. Also, despite not having access to the library since I was working away from campus, there was still lots of online resources which I found very useful.'}",,{'How many contact hours per week do you have?': '8'},,,{'Do you think your time at university this year has been value for money?': 'No'},,,,
Meera,26 May 21,History BA (Hons),"{'Tell us about your overall university experience so far.': 'I think in certain areas Warwick are very good - eg their careers services. But other areas they fall down on. They claim to champion well-being, but I don’t think many people (especially first years) know all the avenues available to them, and I know some people who have had terrible experiences going to these services. They also routinely fail to listen to the student body, ignoring many protests and votes. My experience this year hasn’t been great, but that’s mainly due to the pandemic and not being able to go out, which isn’t the uni’s fault.'}",,{'How many contact hours per week do you have?': '6'},,,{'Do you think your time at university this year has been value for money?': 'No'},,,,
Violette,26 May 21,Film Studies BA (Hons),"{'Tell us about your overall university experience so far.': 'I really enjoyed my time on campus, and even being online at home.\nWarwick is an amazing university, the campus is lovely and the Film course is incredible.\nHowever, the university has to improve its wellbeing services and has to revise it’s policies concerning security on campus and establish a zero-tolerance policy regarding sexual harassment and assault. This concerns a lot of universities and is not being talked about enough. Being a woman, I deserve the right to feel safe on my campus. \nMoreover, I think the university could have offered more than a rent waiver in regards to the covid situation and the numerous opportunities we didn’t get this year.'}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'The university sends invites to forums and links to webpages every week. However, as I am in first year I wouldn’t know too much about this.'}",{'How many contact hours per week do you have?': '5'},"{""How good are your university's facilities?"": 'The facilities are overall very nice and clean.'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Wellbeing services are overwhelmed and probably understaffed as the access to in-person or one-on-one meetings is incredibly limited. There is a month-long waitlist (at least) for any appointment which is considerably too much.'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Lauren,25 May 21,French Studies BA (Hons),{'Tell us about your overall university experience so far.': 'Overall my experience has been good. I received personal and mental health support when I needed it. My course has been well taught and I have lecturers who actually care'},"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I have had emails about jobs, invited to seminars and used the careers services'}",{'How many contact hours per week do you have?': '9'},"{""How good are your university's facilities?"": 'Facilities are good but more study space is always needed'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Mental health support has always been accessible'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
T,25 May 21,"Philosophy, Politics and Economics (PPE) BA (Hons)/BSc (Hons)","{'Tell us about your overall university experience so far.': 'It was a mixed bag year, to say the least. I think the pandemic took away a lot, while adding an additional burden in terms of mental stress and inability to offload that. Had the opportunity to engage with some stimulating academic content, nonetheless, and developed a closer bond with my housemates.'}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'The university is great for job prospects; there are resources available from societies as well as the university’s careers service.'}",{'How many contact hours per week do you have?': '12'},"{""How good are your university's facilities?"": 'Facilities are really good, in terms of availability (even now with Covid) and in terms of study spaces. Can’t say how undergrad accommodation on campus is right now, but I liked living on campus in first year.'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I have not heard great things about the university’s mental health services, although I do know they have taken steps to make it more available to all. I do think there are arrangements made for people with disabilities, but I cannot fully comment on the nature/quality of the same.'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Jaime,25 May 21,"Mathematics, Operational Research, Statistics and Economics (MORSE) MMorse","{'Tell us about your overall university experience so far.': ""Obviously, Covid has limited all kinds of possibilities but, of course, this is not the institution's fault and overall it has been a very fun experience. I would give it five stars but some departments have shown that more in person contact hours were possible and not taken by some departments, which put a strain on our learning and overall experience.""}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I receive university emails about internship fairs and student research programs weekly.'}",{'How many contact hours per week do you have?': '9'},"{""How good are your university's facilities?"": 'I have been amazed by the facilities at Warwick, truly. When I arrived on campus I wandered around it for days.'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'As far as my needs have gone, there has been a support office available for all of them. However, they have sometimes been somewhat slow to respond.'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Lucy,10 May 21,History and Politics BA (Hons),"{'Tell us about your overall university experience so far.': 'This academic year has obviously been somewhat challenging due to the ongoing situation. However I have really enjoyed all my seminars this year, and have felt supported most of the time.'}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Career support is excellent at Warwick.'}",{'How many contact hours per week do you have?': '8'},"{""How good are your university's facilities?"": 'The majority of facilities are modern and put together. The university is currently building a new humanities building ready for this September, which will be a great facility for students.'}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'The support offered is pretty good, but I would say there are definitely a few underfunding issues in terms of mental health support.'}",{'Do you think your time at university this year has been value for money?': 'Yes'},,,,
Max,09 May 21,Cyber Security BSc (Hons),{'Tell us about your overall university experience so far.': 'I believe that the university is great. Great facilities great gym and a great course. However covid has been a major impact to all students whilst studying at university not just Warwick'},,{'How many contact hours per week do you have?': '1620'},,,{'Do you think your time at university this year has been value for money?': 'No'},,,,
Bunny,06 May 21,Mathematics and Statistics BSc (Hons),"{'Tell us about your overall university experience so far.': ""No doubt the pandemic will have had a role in reducing the full range of access to support and facilties from all parts of the University and subsequently reduce this year's university experience especially with the lack of face to face teaching of lectures and seminars, however the ability to interact with personal & course tutors together with the chance of meeting new people and still be able to access the limited range of services was a great experience that I wouldn't change for anything.""}","{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'They constantly hold career talks and advice and even internship opportunities for all students through out the academic year so that you can be well informed on what you plan on doing next after university.'}","{'What do you like most and least about the way your course(s) are taught?': ""The help and the interaction from tutors is satisfactory, but the online format can be difficult and frustrating at times if you don't understand something or need to ask a question.""}","{""How good are your university's facilities?"": ""Due to covid we obviously haven't been able to have access to the full range of facilities the university has to offer but the limited range. However this on its own has been useful so I have no doubt that the full range would been even more helpful.""}","{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""Its hard to quantify this because not everyone has used or accessed these facilties before and its been even harder during covid. So to what extent personal support has been impacted by covid is still yet to be seen, but the help I received was adequate, but it wasn't always easy and sometimes stressful getting the access to those personal support facilities.""}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Paulomi,26 May 21,Civil Engineering MEng (Hons),{'Tell us about your overall university experience so far.': 'This year I gave a very low rating because of coronavirus. I felt the level of teaching was nowhere near what it needed to be especially in a practical subject such as engineering. I felt unprepared especially after an online term 3 last year and my mental health definitely suffered at various points throughout the year. I felt that the overall experience was not indicative of the £9250 spent towards it not even including living costs.'},"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'School of engineering specific is very good with a placement officer. Not sure about rest of the university'}",{'How many contact hours per week do you have?': '20'},,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'They are available but many feel they are more for university quotas than helping students.'}",{'Do you think your time at university this year has been value for money?': 'No'},,,,
Lucy,26 May 21,Hispanic Studies and French BA (Hons),"{'Tell us about your overall university experience so far.': 'Having been online, the university experience was very isolating. However, my department offered lots of support and events which I found really beneficial. Also, despite not having access to the library since I was working away from campus, there was still lots of online resources which I found very useful.'}",,{'How many contact hours per week do you have?': '8'},,,{'Do you think your time at university this year has been value for money?': 'No'},,,,
Meera,26 May 21,History BA (Hons),"{'Tell us about your overall university experience so far.': 'I think in certain areas Warwick are very good - eg their careers services. But other areas they fall down on. They claim to champion well-being, but I don’t think many people (especially first years) know all the avenues available to them, and I know some people who have had terrible experiences going to these services. They also routinely fail to listen to the student body, ignoring many protests and votes. My experience this year hasn’t been great, but that’s mainly due to the pandemic and not being able to go out, which isn’t the uni’s fault.'}",,{'How many contact hours per week do you have?': '6'},,,{'Do you think your time at university this year has been value for money?': 'No'},,,,
